ADMIN,ISO_A3,km2area
Indonesia,IDN,1879826.219
Malaysia,MYS,327884.639
Chile,CHL,736595.044
Bolivia,BOL,1086807.827
Peru,PER,1289866.565
Argentina,ARG,2782896.368
Dhekelia Sovereign Base Area,"-99",127.423
Cyprus,CYP,5395.038
India,IND,3150744.470
China,CHN,9375215.382
Israel,ISR,22101.373
Palestine,PSE,6074.378
Lebanon,LBN,10004.077
Ethiopia,ETH,1127374.814
South Sudan,SSD,626859.090
Somalia,SOM,471815.437
Kenya,KEN,585702.254
Malawi,MWI,119397.803
United Republic of Tanzania,TZA,941505.400
Syria,SYR,185939.600
Somaliland,"-99",167406.507
France,"-99",636756.723
Suriname,SUR,145123.460
Guyana,GUY,211213.614
South Korea,KOR,98543.938
North Korea,PRK,122379.345
Morocco,MAR,591742.623
Western Sahara,ESH,90495.404
Costa Rica,CRI,51151.046
Nicaragua,NIC,128684.728
Republic of the Congo,COG,344888.658
Democratic Republic of the Congo,COD,2325240.134
Bhutan,BTN,40421.323
Ukraine,UKR,571999.266
Belarus,BLR,207499.423
Namibia,NAM,822713.466
South Africa,ZAF,1219824.635
Saint Martin,MAF,68.282
Sint Maarten,SXM,23.358
Oman,OMN,311213.080
Uzbekistan,UZB,447831.489
Kazakhstan,KAZ,2714265.364
Tajikistan,TJK,142238.731
Lithuania,LTU,64938.836
Brazil,BRA,8472661.820
Uruguay,URY,177342.161
Mongolia,MNG,1564663.966
Russia,RUS,16980189.528
Czechia,CZE,78758.987
Germany,DEU,357673.536
Estonia,EST,45818.953
Latvia,LVA,64576.280
Norway,"-99",382073.739
Sweden,SWE,446172.742
Finland,FIN,333059.500
Vietnam,VNM,328891.925
Cambodia,KHM,181059.669
Luxembourg,LUX,2608.476
United Arab Emirates,ARE,71085.004
Belgium,BEL,30669.542
Georgia,GEO,69570.876
North Macedonia,MKD,25385.201
Albania,ALB,28335.790
Azerbaijan,AZE,86249.860
Kosovo,"-99",10913.119
Turkey,TUR,780080.236
Spain,ESP,506884.929
Laos,LAO,228113.969
Kyrgyzstan,KGZ,198990.023
Armenia,ARM,29588.238
Denmark,DNK,42695.871
Libya,LBY,1623758.916
Tunisia,TUN,156613.015
Romania,ROU,236377.053
Hungary,HUN,93200.705
Slovakia,SVK,48457.915
Poland,POL,313427.831
Ireland,IRL,69445.203
United Kingdom,GBR,243782.509
Greece,GRC,131353.326
Zambia,ZMB,751914.281
Sierra Leone,SLE,71611.589
Guinea,GIN,244302.086
Liberia,LBR,95298.219
Central African Republic,CAF,617983.559
Sudan,SDN,1855615.997
Djibouti,DJI,21847.959
Eritrea,ERI,122537.888
Austria,AUT,83993.195
Iraq,IRQ,437366.879
Italy,ITA,301184.484
Switzerland,CHE,41435.487
Iran,IRN,1622508.765
Netherlands,NLD,37396.994
Liechtenstein,LIE,137.250
Ivory Coast,CIV,320677.267
Republic of Serbia,SRB,77628.662
Mali,MLI,1252722.904
Senegal,SEN,196224.579
Nigeria,NGA,907498.236
Benin,BEN,116113.364
Angola,AGO,1244652.166
Croatia,HRV,55023.264
Slovenia,SVN,20327.010
Qatar,QAT,11150.140
Saudi Arabia,SAU,1921725.085
Botswana,BWA,579029.287
Zimbabwe,ZWE,389338.221
Pakistan,PAK,872939.068
Bulgaria,BGR,112759.883
Thailand,THA,514453.471
San Marino,SMR,60.317
Haiti,HTI,26891.573
Dominican Republic,DOM,48439.876
Chad,TCD,1266282.774
Kuwait,KWT,17473.546
El Salvador,SLV,20539.440
Guatemala,GTM,108810.825
East Timor,TLS,15082.166
Brunei,BRN,5716.636
Monaco,MCO,18.840
Algeria,DZA,2308857.926
Mozambique,MOZ,788446.862
eSwatini,SWZ,17111.926
Burundi,BDI,27041.228
Rwanda,RWA,25305.052
Myanmar,MMR,663159.447
Bangladesh,BGD,136903.706
Andorra,AND,452.239
Afghanistan,AFG,642181.113
Montenegro,MNE,13727.482
Bosnia and Herzegovina,BIH,51826.710
Uganda,UGA,241853.502
US Naval Base Guantanamo Bay,"-99",65.353
Cuba,CUB,109929.300
Honduras,HND,112236.448
Ecuador,ECU,255014.168
Colombia,COL,1135117.690
Paraguay,PRY,399901.282
Brazilian Island,"-99",2.825
Portugal,PRT,91390.153
Moldova,MDA,33206.552
Turkmenistan,TKM,470849.115
Jordan,JOR,88862.656
Nepal,NPL,147105.823
Lesotho,LSO,30106.436
Cameroon,CMR,464318.469
Gabon,GAB,259968.285
Niger,NER,1181302.540
Burkina Faso,BFA,272768.764
Togo,TGO,56863.390
Ghana,GHA,238668.670
Guinea-Bissau,GNB,32829.076
Gibraltar,GIB,3.692
United States of America,USA,9464215.516
Canada,CAN,9945627.617
Mexico,MEX,1957845.089
Belize,BLZ,22299.376
Panama,PAN,74530.325
Venezuela,VEN,912683.980
Papua New Guinea,PNG,465147.234
Egypt,EGY,1001058.323
Yemen,YEM,453074.828
Mauritania,MRT,1036388.880
Equatorial Guinea,GNQ,26671.654
Gambia,GMB,10501.078
Hong Kong S.A.R.,HKG,1036.204
Vatican,VAT,0.012
Northern Cyprus,"-99",3319.429
Cyprus No Mans Area,"-99",340.999
Siachen Glacier,"-99",2088.062
Baykonur Cosmodrome,"-99",6501.492
Akrotiri Sovereign Base Area,"-99",98.685
Southern Patagonian Ice Field,"-99",1408.883
Bir Tawil,"-99",2019.458
Antarctica,ATA,12358225.047
Australia,AUS,7691170.174
Greenland,GRL,2154380.051
Fiji,FJI,18930.063
New Zealand,NZL,268498.639
New Caledonia,NCL,18841.069
Madagascar,MDG,592981.346
Philippines,PHL,293290.675
Sri Lanka,LKA,66291.147
Curaçao,CUW,463.243
Aruba,ABW,169.766
The Bahamas,BHS,12603.873
Turks and Caicos Islands,TCA,445.213
Taiwan,TWN,36197.859
Japan,JPN,373506.747
Saint Pierre and Miquelon,SPM,242.763
Iceland,ISL,102390.325
Pitcairn Islands,PCN,42.570
French Polynesia,PYF,3336.503
French Southern and Antarctic Lands,ATF,7279.963
Seychelles,SYC,435.664
Kiribati,KIR,949.863
Marshall Islands,MHL,164.814
Trinidad and Tobago,TTO,5122.918
Grenada,GRD,347.259
Saint Vincent and the Grenadines,VCT,367.728
Barbados,BRB,444.223
Saint Lucia,LCA,605.133
Dominica,DMA,730.312
United States Minor Outlying Islands,UMI,28.005
Montserrat,MSR,99.597
Antigua and Barbuda,ATG,451.850
Saint Kitts and Nevis,KNA,264.122
United States Virgin Islands,VIR,354.793
Saint Barthelemy,BLM,24.422
Puerto Rico,PRI,9005.956
Anguilla,AIA,87.420
British Virgin Islands,VGB,144.938
Jamaica,JAM,11032.904
Cayman Islands,CYM,309.202
Bermuda,BMU,62.302
Heard Island and McDonald Islands,HMD,394.833
Saint Helena,SHN,366.653
Mauritius,MUS,2014.430
Comoros,COM,1672.228
São Tomé and Principe,STP,1037.156
Cabo Verde,CPV,3926.716
Malta,MLT,325.684
Jersey,JEY,119.050
Guernsey,GGY,73.985
Isle of Man,IMN,574.809
Aland,ALA,942.066
Faroe Islands,FRO,1328.532
Indian Ocean Territories,"-99",111.929
British Indian Ocean Territory,IOT,49.061
Singapore,SGP,510.503
Norfolk Island,NFK,41.147
Cook Islands,COK,191.133
Tonga,TON,603.109
Wallis and Futuna,WLF,139.330
Samoa,WSM,2780.425
Solomon Islands,SLB,27198.825
Tuvalu,TUV,23.018
Maldives,MDV,108.742
Nauru,NRU,28.767
Federated States of Micronesia,FSM,633.849
South Georgia and the Islands,SGS,3921.497
Falkland Islands,FLK,11597.226
Vanuatu,VUT,12296.639
Niue,NIU,220.574
American Samoa,ASM,180.304
Palau,PLW,491.931
Guam,GUM,564.205
Northern Mariana Islands,MNP,579.305
Bahrain,BHR,688.118
Coral Sea Islands,"-99",0.021
Spratly Islands,"-99",11.980
Clipperton Island,"-99",5.002
Macao S.A.R,MAC,30.076
Ashmore and Cartier Islands,"-99",2.695
Bajo Nuevo Bank (Petrel Is.),"-99",0.036
Serranilla Bank,"-99",0.105
Scarborough Reef,"-99",0.098
