ADMIN,ISO_A3,ADMIN_2,ISO_A3_2,distance,cent_lat,cent_lon,coast_lat,coast_lon
Indonesia,IDN,Indonesia,IDN,0.66560110781835,-2,117.2704333392,-2.1936174460,116.6054793630
Malaysia,MYS,Malaysia,MYS,1.13642794599501,4,109.6988684422,3.0029971370,108.8813582690
Chile,CHL,Chile,CHL,1.93472190194074,-38,-71.3643747648,-37.1602515600,-73.2090551420
Bolivia,BOL,Bolivia,BOL,5.88163233843983,-17,-64.6847537288,-18.4454389420,-70.3035614920
Peru,PER,Peru,PER,3.73884813477863,-9,-74.3780645721,-10.8522469090,-77.7091698140
Argentina,ARG,Argentina,ARG,4.41558673497190,-35,-65.1730773695,-38.7984351540,-62.3797501290
Dhekelia Sovereign Base Area,"-99",Dhekelia Sovereign Base Area,"-99",0.04304682695076,35,33.7929968807,34.9762230490,33.7818302740
Cyprus,CYP,Cyprus,CYP,0.24058411644219,35,32.9899916973,34.6948102890,33.0864363940
India,IND,India,IND,6.35012032398649,23,79.6071216453,19.1476504580,84.7387801440
China,CHN,China,CHN,13.86514993595882,37,103.8325924584,38.6213239600,117.5435490240
Israel,ISR,Israel,ISR,0.51536392292364,31,34.9970091943,31.6271426450,34.5139266290
Palestine,PSE,Palestine,PSE,0.46802018731181,32,35.2006502591,32.0665957700,34.7570093110
Lebanon,LBN,Lebanon,LBN,0.25177296786141,34,35.8798305161,33.9994164080,35.6408797540
Ethiopia,ETH,Ethiopia,ETH,4.11432382263362,9,39.6005510349,11.5029971370,42.5387475920
South Sudan,SSD,South Sudan,SSD,12.23260335440395,7,30.3011196122,15.0940615910,39.7155867850
Somalia,SOM,Somalia,SOM,1.84823049310836,5,45.7061443753,3.4692650410,47.0398055350
Kenya,KEN,Kenya,KEN,3.94381440903892,1,37.8224399062,-1.9776343730,40.8491317070
Malawi,MWI,Malawi,MWI,5.30899479205276,-13,34.2899078034,-17.8776180970,36.8327742850
United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,3.97158783818899,-6,34.8135864205,-6.0548641910,38.7790633470
Syria,SYR,Syria,SYR,2.54816399990743,35,38.5045647578,35.1979434270,35.9624129570
,,,,0.97255676925510,,,10.6946914779,46.3859521677
,,,,1.16850811099471,,,43.3209089210,-3.0081680980
Suriname,SUR,Suriname,SUR,1.54551610441992,4,-55.9110713608,5.6767031920,-55.8976944650
Guyana,GUY,Guyana,GUY,1.61102240416536,5,-58.9801146528,6.3762067730,-58.6795955070
South Korea,KOR,South Korea,KOR,0.99821023730621,36,127.8190939667,36.0619570980,126.8706974620
North Korea,PRK,North Korea,PRK,0.52860062011930,40,127.1837777790,39.7962914080,127.5760197270
Morocco,MAR,Morocco,MAR,1.29061331118240,30,-8.3964350497,30.1268985050,-9.6551407540
Western Sahara,ESH,Western Sahara,ESH,2.70956268633611,24,-12.2149613919,24.9053408870,-14.8396703770
Costa Rica,CRI,Costa Rica,CRI,0.48022809224998,10,-84.1935275649,9.7833926450,-84.6345515620
Nicaragua,NIC,Nicaragua,NIC,1.29684820651475,13,-85.0334104075,12.5335147160,-83.7746475900
Republic of the Congo,COG,Republic of the Congo,COG,5.05627589455218,-1,15.2183361559,-4.4634911970,11.6929823420
Democratic Republic of the Congo,COD,Democratic Republic of the Congo,COD,10.87597813173327,-3,23.6451136542,-5.8562151020,13.1843367850
Bhutan,BTN,Bhutan,BTN,3.82092220674311,27,90.4066878282,23.6061058610,90.6119897800
Ukraine,UKR,Ukraine,UKR,1.96221928649286,49,31.2553061432,47.2591006530,31.7417098320
Belarus,BLR,Belarus,BLR,5.36393984011157,54,28.0335665744,57.0132510440,23.9528914720
Namibia,NAM,Namibia,NAM,2.73483163318340,-22,17.2111331974,-22.5480282530,14.5085555350
South Africa,ZAF,South Africa,ZAF,5.02986120242423,-29,25.0873644352,-31.9698218730,29.1476343110
Saint Martin,MAF,Saint Martin,MAF,0.03054295207984,18,-63.0550706311,18.0879580750,-63.0838110020
Sint Maarten,SXM,Sint Maarten,SXM,0.01124050533411,18,-63.0701327003,18.0297291047,-63.0728729376
Oman,OMN,Oman,OMN,1.77686169200047,21,56.0926565464,20.2010765650,57.8237410820
Uzbekistan,UZB,Uzbekistan,UZB,8.40332158258313,42,63.1399088895,41.0367699240,54.7674259770
Kazakhstan,KAZ,Kazakhstan,KAZ,14.16422240450674,48,67.2959644280,46.6950137390,53.2077742850
Tajikistan,TJK,Tajikistan,TJK,16.43719661283012,39,71.0158343735,40.9650332700,54.7600203790
Lithuania,LTU,Lithuania,LTU,2.59723281295578,55,23.8882490157,55.2970645200,21.2911889980
Brazil,BRA,Brazil,BRA,8.79690845475790,-11,-53.0924823696,-2.6690406230,-49.6889542310
Uruguay,URY,Uruguay,URY,2.03452818009578,-33,-56.0171302431,-32.9117164040,-58.0484919910
Mongolia,MNG,Mongolia,MNG,16.56509696380371,47,103.0562866621,39.1113955750,117.7154240240
Russia,RUS,Russia,RUS,18.44681659840509,62,96.6275884170,67.5705427100,79.0525008470
Czechia,CZE,Czechia,CZE,3.93304765849183,50,15.3141029104,53.5983747420,14.5905867850
Germany,DEU,Germany,DEU,2.49813308384911,51,10.3814937861,53.5403506530,9.8190210300
Estonia,EST,Estonia,EST,1.04091778787226,59,25.5357932075,58.3337263040,24.5510360040
Latvia,LVA,Latvia,LVA,0.70183720562064,57,24.9086224276,57.1610375020,24.2785750660
